,xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk
0,zhou_li,1101,nv,94,82,96,97,97,98,95,94,88,wen_ke
1,shang_hai_meng,1101,nan,87,94,89,95,94,94,90,90,89,wen_ke
2,shu_jiang_hui,1101,nan,92,79,86,98,95,96,89,94,87,wen_ke
3,weng_ke,1101,nv,91,84,96,93,97,94,82,90,83,wen_ke
4,qi_jiang,1101,nan,85,92,82,93,87,88,95,94,93,wen_ke
5,chen_rong,1101,nv,92,82,85,91,90,92,82,98,90,wen_ke
6,mu_ling_li,1101,nv,88,72,86,94,87,88,89,98,94,wen_ke
7,wei_yong_jie,1101,nan,81,89,87,97,94,96,81,88,83,wen_ke
8,gong_lan_xiu,1101,nv,88,77,95,94,84,94,87,94,82,wen_ke
9,shu_ya,1101,nv,94,81,88,91,85,98,81,88,88,wen_ke
10,zai_ling_ling,1101,nv,87,83,92,91,86,94,84,90,87,wen_ke
11,tai_you_sheng,1101,nan,88,82,91,89,81,98,89,98,75,wen_ke
12,li_yang,1101,nan,79,84,91,87,91,87,85,96,90,wen_ke
13,bo_jie,1101,nan,78,81,83,86,88,98,85,90,99,wen_ke
14,sang_xi_yu,1101,nan,83,85,82,91,88,88,88,86,93,wen_ke
15,tu_zhen_jin,1101,nv,80,84,91,91,85,100,73,90,90,wen_ke
16,luo_yang,1101,nv,89,71,90,95,91,96,84,88,80,wen_ke
17,shao_li_jun,1101,nv,89,84,85,97,84,86,72,96,89,wen_ke
18,chai_yang_ping,1101,nv,91,78,89,94,90,90,89,90,71,wen_ke
19,cui_zhi_fu,1101,nan,85,79,88,87,78,93,84,96,87,wen_ke
20,ji_hua_ren,1101,nan,90,61,82,93,90,96,76,96,92,wen_ke
21,bing_gui_hua,1101,nv,87,74,86,95,81,88,85,96,84,wen_ke
22,cheng_gui_lian,1101,nv,87,88,89,95,87,84,85,80,80,wen_ke
23,yu_yu_qing,1101,nv,90,70,88,91,84,98,89,86,78,wen_ke
24,ling_shi_yu,1101,nv,84,55,95,90,86,100,80,96,86,wen_ke
25,lou_ceng_ceng,1101,nv,90,92,86,90,83,86,85,80,79,wen_ke
26,beng_shi_wei,1101,nv,85,78,87,87,71,95,75,98,87,wen_ke
27,shang_wen_jing,1101,nv,85,83,86,95,87,92,69,88,78,wen_ke
28,shi_hua_jun,1101,nv,82,78,86,91,85,92,81,88,79,wen_ke
29,fan_fa_wan,1101,nan,84,74,83,93,98,88,64,86,90,wen_ke
30,wei_feng_lin,1101,nv,85,70,80,93,91,88,83,94,76,wen_ke
31,ai_yuan_yuan,1101,nv,81,70,81,80,93,92,89,86,87,wen_ke
32,ben_hui_e,1101,nv,86,73,88,92,88,86,68,86,80,wen_ke
33,gong_ri_feng,1101,nv,80,65,86,98,86,98,90,76,68,wen_ke
34,yu_chun_yan,1101,nv,86,74,88,85,69,90,79,90,78,wen_ke
35,mo_chong,1101,nan,84,72,65,93,95,98,66,82,81,wen_ke
36,hu_xiao_qian,1101,nv,80,64,89,92,70,92,78,90,80,wen_ke
37,hou_dai_hong,1101,nan,81,71,80,92,96,88,71,72,79,wen_ke
